,title,addr,score,lng,lat
116,디어블라썸커피,서울 송파구 올림픽로12길 23 1층,4.2,127.083365312972,37.5095151713629
117,군자대한곱창 방이직영점,"서울 송파구 오금로11길 12 1층 103,104호",3.4,127.108553295288,37.5144095052863
118,토닭토닭,서울 송파구 백제고분로45길 38,3.4,127.107722449185,37.5109164436053
119,골드참치,서울 송파구 오금로 125,3.7,127.109246812748,37.5117930719582
120,그리지하우스,서울 송파구 백제고분로41길 43-17 1층,3.9,127.104940256893,37.5087279761286
121,담은갈비,서울 송파구 삼전로 93 1층,3.9,127.089590312208,37.506852380184
122,기유,서울 송파구 오금로11길 51 1층 103호,3.9,127.112848901841,37.5155971464397
123,버터램,서울 송파구 충민로 81-9 1층,4.5,127.126092230296,37.4799796022753
124,홍태관,서울 송파구 백제고분로7길 16-9,3.7,127.08091107671,37.5101496533354
125,천사곱창 신천점,서울 송파구 백제고분로7길 32-10,3.7,127.082479429053,37.5102885847034
126,벽돌집,서울 송파구 중대로9길 36,4.7,127.118654626235,37.4963548261972
127,사시미 신천본점,서울 송파구 백제고분로7길 24 1층,3.7,127.081490412315,37.5104730760303
128,남경막국수 신천점,서울 송파구 백제고분로7길 52-29 101호,3.6,127.085131818176,37.5094576887604
129,삼청각,서울 송파구 송이로 151,3.1,127.124918130747,37.4935061446817
130,방이편백육분삼십 방이본점,서울 송파구 위례성대로16길 25 금양빌딩 1층,3.8,127.124201142164,37.5105367110136
131,미타우동,서울 송파구 삼전로12길 4 1층 101호,3.8,127.090396286395,37.5064034261572
132,뽕사부,서울 송파구 백제고분로 498 1층,3.5,127.115280792472,37.5146145964174
133,인딕슬로우 송리단길점,서울 송파구 백제고분로45길 28,4.2,127.108659621805,37.5103537190732
134,가배도 송파점,서울 송파구 백제고분로45길 6 은진빌딩 2층 201호,3.3,127.110840269778,37.5092693166428
135,천미미,서울 송파구 송파대로28길 20 세화빌딩 1층,4.2,127.12022159525,37.4941449655427
136,라이언하트,서울 송파구 석촌호수로 284 현대레이크빌 상가동 지하1층 104호,4.4,127.106979413783,37.5107286288439
137,조광201,서울 송파구 새말로8길 13 2층,4.2,127.126776704558,37.4815263519172
138,이경진우렁쌈밥정식 오금점,서울 송파구 중대로 310 1층,3.3,127.133464301992,37.5078334165339
139,장수식당,서울 송파구 삼전로 95,4.1,127.089906986473,37.507036395059
140,황산냉면,서울 송파구 가락로 257,4.1,127.11845286726,37.5109473462878
141,큰손닭한마리 잠실새내본점,서울 송파구 백제고분로15길 59 1층,3.9,127.084324922867,37.5105526274134
